id,buyerName,lenderName,address,city,saleDate,saleValue,loanAmount
797,NEWARK DEVELOPMENT GROUP LLC,ARTISANS' BANK,272 S CHAPEL ST,NEWARK,2024-07-30,600000,375000
798,GAKKHAR LLC,HORIZON FARM CREDIT ACA,8615 GARDEN LN,SEAFORD,2024-07-30,112590,89600
799,SELECTIVE REAL ESTATE SOLUTIONS LLC,LARRYS LATE NIGHT LENDING LLC,82 AVIGNON DR,NEWARK,2024-07-29,0,369575
800,SPRINGFIELD LLC,HAILSTONE JAMES,217 KENMARK RD,NEWARK,2024-07-29,191500,260000
801,ZAHRAREALTY LLC,MEANS DOMINION FIN'L SVC LLC,37 S DUPONT RD,WILMINGTON,2024-07-26,200000,198000
802,82 AUGUSTA LLC,ATLIS MERION REIT LLC,105 ANDERSON RD,NEWARK,2024-07-26,205789,205000
803,33 REHOBOTH BEACH HOUSE LLC,RAYMOND JAMES BANK,33 MARYLAND AVE,REHOBOTH BEACH,2024-07-26,2150000,1200000
804,HCA MODEL FUND 2018-15 TEXAS LLC,CORNERSTONE CAPITAL BANK SSB,30 BUXTON CIR,MAGNOLIA,2024-07-26,410000,40000000
805,HCA MODEL FUND 2018-15 TEXAS LLC,CORNERSTONE CAPITAL BANK SSB,16 BUXTON CIR,MAGNOLIA,2024-07-26,451000,40000000
806,HH CONTRIBUTION LLC,RFLF 7 LLC,627 SOUTHWOOD RD,HOCKESSIN,2024-07-25,290000,217500
807,BRANDBERLY LLC,DOUBLE BACKFLIP LLC,117 WOLCOTT ST,HARRINGTON,2024-07-23,153900,183740
808,BERNER GROUP LLC,ARTISANS' BANK,109 N DUPONT RD,WILMINGTON,2024-07-23,0,440000
809,JRO LLC,ZINGARO JANE,113 THAMES DR,DOVER,2024-07-22,161850,115000
810,BEACH ROVERS LLC,BONHAM ROBERT,22 ARNELL RD,REHOBOTH BEACH,2024-07-22,589050,589050
811,BIGG JIMS HOMES LLC,MCSULL INVESTMENTS LP,35346 DANNYS DR,LAUREL,2024-07-22,120000,197000
812,BRIGHT SIDE PROPERTY GROUP LLC,STONE MICHAEL,4 MIFFLIN RD,DOVER,2024-07-19,170000,175000
813,MN PROPERTIES LLC,SHALLCROSS MORTGAGE COMPANY,505 RODMAN ST,WILMINGTON,2024-07-19,115000,150000
814,BRIGHTNOVA INC,COMMERCIAL LENDER LLC,113 N FRANKLIN ST,WILMINGTON,2024-07-19,0,129150
815,RED STONE RANCH LLC,HORIZON FARM CREDIT ACA,6952 PEARSONS CORNER RD,DOVER,2024-07-18,1500000,971500
